run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	library_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	bam_ftp
ERR315858	SAMEA2591084	ERX289007	PRJEB1787	408172	marine metagenome	APYAOSE	ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315858/ERR315858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR315/ERR315858/ERR315858_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315858/APY_AOSE_2_1_62JUVAAXX_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR315/ERR315858/APY_AOSE_2_2_62JUVAAXX_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR315/ERR315858	TARA_E500000075	
ERR318621	SAMEA2591122	ERX291767	PRJEB1787	408172	marine metagenome	APYDOSW	ftp.sra.ebi.ac.uk/vol1/fastq/ERR318/ERR318621/ERR318621_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR318/ERR318621/ERR318621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR318/ERR318621/APY_DOSW_6_1_62FL1AAXX.M1A_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR318/ERR318621/APY_DOSW_6_2_62FL1AAXX.M1A_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR318/ERR318621	TARA_A100001011	
ERR598942	SAMEA2623135	ERX555907	PRJEB1787	408172	marine metagenome	APY_AFNIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598942/ERR598942_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598942/ERR598942_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598942/APY_AFNIOSF_8_1_C11W9ACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598942/APY_AFNIOSF_8_2_C11W9ACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598942	TARA_B100001094	
ERR598943	SAMEA2622173	ERX556029	PRJEB1787	408172	marine metagenome	APY_ADCIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598943/ERR598943_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598943/ERR598943_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598943/APY_ADCIOSF_8_1_D072HACXX.IND12_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598943/APY_ADCIOSF_8_2_D072HACXX.IND12_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598943	TARA_B100000900	
ERR598945	SAMEA2621487	ERX555982	PRJEB1787	408172	marine metagenome	APY_ACNIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598945/ERR598945_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598945/ERR598945_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598945/APY_ACNIOSF_7_1_D074HACXX.IND3_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598945/APY_ACNIOSF_7_2_D074HACXX.IND3_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598945	TARA_B100000780	
ERR598947	SAMEA2620995	ERX555969	PRJEB1787	408172	marine metagenome	APY_AAMIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598947/ERR598947_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598947/ERR598947_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598947/APY_AAMIOSF_1_1_C120RACXX.IND8_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598947/APY_AAMIOSF_1_2_C120RACXX.IND8_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598947	TARA_B100000470	
ERR598948	SAMEA2622690	ERX555932	PRJEB1787	408172	marine metagenome	APY_AEDIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598948/ERR598948_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598948/ERR598948_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598948/APY_AEDIOSF_5_1_D179JACXX.IND5_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598948/APY_AEDIOSF_5_2_D179JACXX.IND5_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598948	TARA_B100000700	
ERR598949	SAMEA2620021	ERX556061	PRJEB1787	408172	marine metagenome	APY_ABTIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598949/ERR598949_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598949/ERR598949_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598949/APY_ABTIOSF_1_1_D074HACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598949/APY_ABTIOSF_1_2_D074HACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598949	TARA_B100000073	
ERR598953	SAMEA2622149	ERX556081	PRJEB1787	408172	marine metagenome	APY_ADBIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598953/ERR598953_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598953/ERR598953_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598953/APY_ADBIOSF_2_1_C179JACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598953/APY_ADBIOSF_2_2_C179JACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598953	TARA_B100000959	
ERR598956	SAMEA2622733	ERX555950	PRJEB1787	408172	marine metagenome	APY_AEGIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598956/ERR598956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598956/ERR598956_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598956/APY_AEGIOSF_7_1_D17A8ACXX.IND7_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598956/APY_AEGIOSF_7_2_D17A8ACXX.IND7_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598956	TARA_B100000686	
ERR598957	SAMEA2622545	ERX555966	PRJEB1787	408172	marine metagenome	APY_AEAIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598957/ERR598957_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598957/ERR598957_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598957/APY_AEAIOSF_2_1_D179JACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598957/APY_AEAIOSF_2_2_D179JACXX.IND9_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598957	TARA_B100000945	
ERR598962	SAMEA2622219	ERX556048	PRJEB1787	408172	marine metagenome	APY_ADDIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598962/ERR598962_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598962/ERR598962_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598962/APY_ADDIOSF_2_1_D074KACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598962/APY_ADDIOSF_2_2_D074KACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598962	TARA_B100000902	
ERR598965	SAMEA2621812	ERX556045	PRJEB1787	408172	marine metagenome	APY_AFBIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598965/ERR598965_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598965/ERR598965_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598965/APY_AFBIOSF_2_1_C11W9ACXX.IND9_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598965/APY_AFBIOSF_2_2_C11W9ACXX.IND9_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598965	TARA_B100001059	
ERR598966	SAMEA2619927	ERX556073	PRJEB1787	408172	marine metagenome	APY_ABPIOSF_r2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598966/ERR598966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598966/ERR598966_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598966/APY_ABPIOSF_8_1_D072HACXX.IND6_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598966/APY_ABPIOSF_8_2_D072HACXX.IND6_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598966	TARA_B100000034	
ERR598969	SAMEA2619802	ERX556018	PRJEB1787	408172	marine metagenome	APY_ABHIOSF_r1	ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598969/ERR598969_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR598/ERR598969/ERR598969_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598969/APY_ABHIOSF_2_1_D074HACXX.IND1_clean.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR598/ERR598969/APY_ABHIOSF_2_2_D074HACXX.IND1_clean.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR598/ERR598969	TARA_A100001403	
